PRODUCT NAME,HSN CODE,UOM,MRP,COST,GST,RETAIL,WHOLESALE,SUPPLIER,RACK,INITIAL STK,STATUS
ACE EDISON 22W PANEL RD-WH,9405,PC,1200,680,18%,870,745,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL RD-WW,9405,PC,1200,680,18%,870,745,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL RD-NW,9405,PC,1200,680,18%,870,745,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL SQ-WH,9405,PC,1200,680,18%,870,745,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL SQ-WW,9405,PC,1200,680,18%,870,745,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL SQ-NW,9405,PC,1200,680,18%,870,745,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL RD-3IN1,9405,PC,600,340,18%,435,370,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL SQ-3IN1,9405,PC,600,340,18%,435,370,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 15W PANEL RD-3IN1,9405,PC,900,510,18%,650,560,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 15W PANEL SQ-3IN1,9405,PC,900,510,18%,650,560,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL RD-3IN1,9405,PC,1300,736,18%,940,810,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 22W PANEL SQ-3IN1,9405,PC,1300,736,18%,940,810,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 3W RD-WH,9405,PC,320,181,18%,230,200,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 3W RD-WW,9405,PC,320,181,18%,230,200,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 3W RD-NW,9405,PC,320,181,18%,230,200,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 3W SQ-WH,9405,PC,320,181,18%,230,200,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 3W SQ-WW,9405,PC,320,181,18%,230,200,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 3W SQ-NW,9405,PC,320,181,18%,230,200,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 8W RD-WH,9405,PC,440,249,18%,320,275,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 8W RD-WW,9405,PC,440,249,18%,320,275,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 8W RD-NW,9405,PC,440,249,18%,320,275,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 8W SQ-WH,9405,PC,440,249,18%,320,275,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 8W SQ-WW,9405,PC,440,249,18%,320,275,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 8W SQ-NW,9405,PC,440,249,18%,320,275,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 12W RD-WH,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 12W RD-WW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 12W RD-NW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 12W SQ-WH,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 12W SQ-WW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 12W SQ-NW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 15W RD-WH,9405,PC,660,374,18%,475,410,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 15W RD-WW,9405,PC,660,374,18%,475,410,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 15W RD-NW,9405,PC,660,374,18%,475,410,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 15W SQ-WH,9405,PC,660,374,18%,475,410,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 15W SQ-WW,9405,PC,660,374,18%,475,410,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 15W SQ-NW,9405,PC,660,374,18%,475,410,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 18W RD-WH,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 18W RD-WW,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 18W RD-NW,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 18W SQ-WH,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 18W SQ-WW,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 18W SQ-NW,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 22W RD-WH,9405,PC,990,561,18%,715,615,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 22W RD-WW,9405,PC,990,561,18%,715,615,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 22W RD-NW,9405,PC,990,561,18%,715,615,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 22W SQ-WH,9405,PC,990,561,18%,715,615,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 22W SQ-WW,9405,PC,990,561,18%,715,615,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 22W SQ-NW,9405,PC,990,561,18%,715,615,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 30W RD-WH,9405,PC,1650,935,18%,1200,1025,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 30W RD-WW,9405,PC,1650,935,18%,1200,1025,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 30W RD-NW,9405,PC,1650,935,18%,1200,1025,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 30W SQ-WH,9405,PC,1650,935,18%,1200,1025,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 30W SQ-WW,9405,PC,1650,935,18%,1200,1025,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 30W SQ-NW,9405,PC,1650,935,18%,1200,1025,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 48W SQ-WH,9405,PC,3900,2209,18%,2800,2400,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 48W SQ-WW,9405,PC,3900,2209,18%,2800,2400,CHANDAN LITES,,1,AVAILABLE
ACE PANEL 48W SQ-NW,9405,PC,3900,2209,18%,2800,2400,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 8W-RD-WH,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 8W-RD-WW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 8W-RD-NW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-RD-WH,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-RD-WW,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-RD-NW,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-RD-WH,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-RD-WW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-RD-NW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 8W-SQ-WH,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 8W-SQ-WW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 8W-SQ-NW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-SQ-WH,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-SQ-WW,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-SQ-NW,9405,PC,830,470,18%,600,515,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-SQ-WH,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-SQ-WW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-SQ-NW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 30W-RD-WH,9405,PC,1980,1121,18%,1425,1225,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-SQ-3IN1,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-SQ-3IN1,9405,PC,1210,685,18%,870,750,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 15W-RD-3IN1,9405,PC,880,498,18%,635,545,CHANDAN LITES,,1,AVAILABLE
ACE SURFACE 22W-RD-3IN1,9405,PC,1210,685,18%,870,750,CHANDAN LITES,,1,AVAILABLE
ACE CLASSIC COB 3W RD-WH,9405,PC,600,340,18%,435,370,CHANDAN LITES,,1,AVAILABLE
ACE CLASSIC COB 3W RD-WW,9405,PC,600,340,18%,435,370,CHANDAN LITES,,1,AVAILABLE
ACE CLASSIC COB 6W RD-WH,9405,PC,800,453,18%,575,495,CHANDAN LITES,,1,AVAILABLE
ACE CLASSIC COB 6W RD-WW,9405,PC,800,453,18%,575,495,CHANDAN LITES,,1,AVAILABLE
ACE CLASSIC COB 9W RD-WH,9405,PC,1000,566,18%,720,620,CHANDAN LITES,,1,AVAILABLE
ACE CLASSIC COB 9W RD-WW,9405,PC,1000,566,18%,720,620,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 6W RD-WH,9405,PC,650,368,18%,470,400,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 9W RD-WH,9405,PC,800,453,18%,575,495,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 12W RD-WH,9405,PC,950,538,18%,685,590,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 16W RD-WH,9405,PC,1200,680,18%,865,745,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 24W RD-WH,9405,PC,1750,991,18%,1260,1100,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 30W RD-WH,9405,PC,1900,1076,18%,1370,1180,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 50W RD-WH,9405,PC,3000,1699,18%,2160,1860,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 6W RD-WW,9405,PC,650,368,18%,470,400,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 9W RD-WW,9405,PC,800,453,18%,575,495,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 12W RD-WW,9405,PC,950,538,18%,685,590,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 16W RD-WW,9405,PC,1200,680,18%,865,745,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 24W RD-WW,9405,PC,1750,991,18%,1260,1100,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 30W RD-WW,9405,PC,1900,1076,18%,1370,1180,CHANDAN LITES,,1,AVAILABLE
ACE JIO COB 50W RD-WW,9405,PC,3000,1699,18%,2160,1860,CHANDAN LITES,,1,AVAILABLE
ACE JUPITER COB 16W RD-WH,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE JUPITER COB 24W RD-WH,9405,PC,1600,906,18%,1150,990,CHANDAN LITES,,1,AVAILABLE
ACE JUPITER COB 30W RD-WH,9405,PC,1900,1076,18%,1370,1180,CHANDAN LITES,,1,AVAILABLE
ACE JUPITER COB 16W RD-WW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE JUPITER COB 24W RD-WW,9405,PC,1600,906,18%,1150,990,CHANDAN LITES,,1,AVAILABLE
ACE JUPITER COB 30W RD-WW,9405,PC,1900,1076,18%,1370,1180,CHANDAN LITES,,1,AVAILABLE
ACE-118SF CUBE 3W-BKRG-WW,9405,PC,300,170,18%,220,185,CHANDAN LITES,,1,AVAILABLE
ACE 138-3 3IN1 JUN BOX,9405,PC,220,125,18%,160,135,CHANDAN LITES,,1,AVAILABLE
ACE 127A 3W WH,9405,PC,160,91,18%,115,100,CHANDAN LITES,,1,AVAILABLE
ACE 127A 3W WW,9405,PC,160,91,18%,115,100,CHANDAN LITES,,1,AVAILABLE
ACE 127A 3W BL,9405,PC,170,96,18%,120,105,CHANDAN LITES,,1,AVAILABLE
ACE 127A 3W GR,9405,PC,170,96,18%,120,105,CHANDAN LITES,,1,AVAILABLE
ACE 127A 3W PINK,9405,PC,170,96,18%,120,105,CHANDAN LITES,,1,AVAILABLE
ACE 190-6 3IN1 BLK,9405,PC,350,198,18%,250,215,CHANDAN LITES,,1,AVAILABLE
ACE 190-6 3IN1 WHT,9405,PC,350,198,18%,250,215,CHANDAN LITES,,1,AVAILABLE
ACE 139-10W STACO-WH,9405,PC,250,142,18%,180,155,CHANDAN LITES,,1,AVAILABLE
ACE 139-10W STACO-WW,9405,PC,250,142,18%,180,155,CHANDAN LITES,,1,AVAILABLE
ACE 121-1W RD-WW,9405,PC,150,85,18%,110,95,CHANDAN LITES,,1,AVAILABLE
ACE 421-3W RD-WW,9405,PC,240,136,18%,175,150,CHANDAN LITES,,1,AVAILABLE
ACE 869A STRICKER 3W-WH,9405,PC,140,79,18%,100,85,CHANDAN LITES,,1,AVAILABLE
ACE 869A STRICKER 3W-WW,9405,PC,140,79,18%,100,85,CHANDAN LITES,,1,AVAILABLE
ACE 869A STRICKER 3W-BL,9405,PC,160,91,18%,115,100,CHANDAN LITES,,1,AVAILABLE
ACE 869A STRICKER 3W-GR,9405,PC,160,91,18%,115,100,CHANDAN LITES,,1,AVAILABLE
ACE 869A STRICKER 3W-PK,9405,PC,160,91,18%,115,100,CHANDAN LITES,,1,AVAILABLE
ACE 869A STRICKER 3W-RGB,9405,PC,240,136,18%,175,150,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 3W-WH,9405,PC,610,346,18%,440,380,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 6W-WH,9405,PC,860,487,18%,620,530,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 9W-WH,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 16W-WH,9405,PC,1650,935,18%,1190,1025,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 30W-WH,9405,PC,2200,1246,18%,1590,1370,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 50W-WH,9405,PC,3300,1869,18%,2375,2045,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 3W-WW,9405,PC,610,346,18%,440,380,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 6W-WW,9405,PC,860,487,18%,620,530,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 9W-WW,9405,PC,1100,623,18%,790,680,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 16W-WW,9405,PC,1650,935,18%,1190,1025,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 30W-WW,9405,PC,2200,1246,18%,1590,1370,CHANDAN LITES,,1,AVAILABLE
ACE 135 WL 50W-WW,9405,PC,3300,1869,18%,2375,2045,CHANDAN LITES,,1,AVAILABLE
ACE 155 WL-BK 3W-WW,9405,PC,720,408,18%,520,445,CHANDAN LITES,,1,AVAILABLE
